course_name,modules
Certified Specialist In Data Science & Analytics,"Software Engineering Fundamentals for Data, Driven Projects ETL vs ELT: Building Robust Data Pipelines using Apache Airflow, Foundations of Data Science, Machine Learning, AI & Ethics in AI Data Warehousing Concepts: OLAP, OLTP & Dimensional Modeling, Python Programming Basics for Data Science Data Visualization: Matplotlib, Seaborn, Tableau & Data Storytelling, Inferential Statistics: Hypothesis Testing with P, and F Tests Supervised Learning: Regression, Classification & Ensemble, Linear Algebra for ML: Matrices, Eigenvalues, Eigenvectors & Techniques, Decomposition Model Evaluation, Selection & Hyperparameter Optimization, Boosting, Stacking &, Data Analysis with Python: NumPy and Pandas Essentials Cascading, Means, Hierarchical &, Automation DBSCAN, SQL for Data Science: Queries, Joins, Procedures Web Development for Data Science: Flask, FastAPI & Streamlit, Working with Data Structures: Arrays, Series, Vectors & DataFrames Deep Learning, Large Language Models (LLMs) & Generative AI, Feature Engineering: Data Types, Extraction, and Transformation Prompt Engineering & GPT, based Language Understanding, Techniques Big Data Ecosystem: Hadoop, Spark & Distributed Computing Basics, Data Pre, processing: Cleaning, Encoding, Scaling & Correlation Cloud Fundamentals & DevOps Practices for Model Deployment, Analysis Capstone Project: End, to, End Development and Deployment"
Certified Specialist In Full Stack Development (Mern) ,"Software Engineering Fundamentals Middleware, An Overview of Full Stack Development Authentication & Authorisation with JWT, MERN Stack Architecture End, to, End Web Development using the MERN, Structuring and Styling Web Pages with HTML5 Stack, and CSS3 Web Application Testing, JavaScript Foundations Cloud Fundamentals and Introduction to DevOps, Version Control with Git and GitHub Practices, Advanced JavaScript Concepts Capstone Project Development and Deployment, Essentials of JavaScript Package Management, Backend Development with Node.js, Building APIs with Express.js, Building Web Applications with Node.js and, Express.js, NoSQL Database Management using MongoDB, Building User Interfaces with React.js, State Management using Redux Toolkit"
Certified Specialist In Artificial Intelligence & Machine Learning ,"Foundations of Software Engineering for Machine Techniques, Learning Dimensionality Reduction with PCA and Practical, Python Programming Essentials and Refresher Applications, Artificial Intelligence Fundamentals of Artificial Neural Networks, Introduction to Key ML Libraries: NumPy, Pandas, Deep Learning Concepts and Parameter Tuning, Matplotlib, Seaborn, Scikit, learn Image Data Processing and Augmentation Techniques, Values, Encoding, Scaling, Outlier Handling Advanced NLP Using Deep Learning, Models Applications, Advanced Regression Techniques and Real, World Cloud Fundamentals & DevOps Practices for Model, Applications Deployment, Classification Methods and Evaluation Metrics Capstone Project: End, to, End Development and, Ensemble Learning: Bagging, Boosting, and Stacking Deployment, Model Optimization and Hyperparameter Tuning"
Industry Readiness Program Certified Cyber Security Analyst,"Design Thinking for Innovative Problem Solving Bruteforcing Logins with Hydra, Battlefield Exploring Web Server Vulnerabilities with Nikto, Careers in Cyber Security: Roles, Skills & Roadmaps WiFi Hacking Hands, On: Cracking WPA/WPA2 with, Building Your Cyber Lab with Virtual Machines Airodump, ng, Mastering the Command Line: Bash Basics & Beyond and Backend, Introduction to Computer Networks Web Application Security: Common Attacks &, Cyber Cryptography: Protecting Data in Transit & at Defenses, Rest Getting Started with Bug Bounty Hunting, The CIA Triad: Confidentiality, Integrity, Availability Hands, On with Burp Suite for Web App Testing, Fundamentals of Network Security Weaknesses, Port Scanning with Nmap: Discovering Network Man, in, the, Middle Attacks: Eavesdropping Techniques, Services Capture The Flag (CTF) Challenges for Practical, Packet Capturing and Analysis with Wireshark Learning, Network Reconnaissance using Netcat Capstone Project on VAPT, Introduction to Metasploit for Exploitation"
Certified Specialist In Sdet,"Design Thinking for Test, Driven Problem Solving Fundamentals of Databases and SQL, Fundamentals of Software Engineering for Quality Advanced SQL Queries and Joins, Assurance Database Testing and Automation Strategies, Introduction to Software Development Engineer in Introduction to Test Automation, Test (SDET) Role Selenium WebDriver Basics and Setup, Core Java Programming and OOPS Concepts Test Automation Frameworks (TestNG, Data, Driven), File I/O and Exception Handling in Java BDD with Cucumber and Gherkin Language, Working with Dates, Collections, and Multi, threading CI/CD Concepts and Jenkins Integration, Working with Source Control Systems (Git & GitHub API Testing using Postman, Basics) Defect Management using Jira and Confluence, Collections Framework and Data Handling Solutions, Code Quality and Clean Code Practices, Unit Testing with JUnit, Debugging Techniques for Test Engineers, Code Coverage and Static Code Analysis, Introduction to Software Testing and STLC, Types and Levels of Testing, Test Design Techniques and Test Case Writing, Performance Testing using JMeter"
Essential Skill Program Python,"Python is ranked number one in the, Introduction to Python Programming, IEEE Spectrum Ranking of, Python Variables, Programming Languages in 2020., Data Structures, Opportunities in the career of Python, Control Structures, are increasing tremendously in the, Functions in Python, world., Introduction to Web development, Whether you work in artificial, Basics of Database, intelligence or finance or are pursuing a, Web Application Development and, career in web development or data, Deployment, science, Python is one of the most, important skills you can learn. Objectives, Job roles advanced in Python with high, promising pay in large companies. Familiarise with the basics of Python, Programming, Key Highlights Familiarise with Database Concepts, Develop and deploy Web Applications, Suitable for students, graduates, and, using Python, working professionals, LinkedIn Learning / Unstop access for, three months, Internship opportunities for Unstop, users, Add, on program on Cloud Computing, Fundamentals, Employability skills training, Powered by Knowledge Partner Program delivery Internship Partner, G1, GROUND FLOOR, THEJASWINI BUILDING, TECHNOPARK CAMPUS, THIRUVANANTHAPURAM, +91 75 940 51437 | 471 270 0811, info@ictkerala.org | https://ictkerala.org, NOISREV, PYTHON, PROGRAMMING, The following shall be eligible to, join the course, Engineering or science graduates, / three, year diploma holders in, any engineering branches, final, year/pre, final year students of, these courses, having a, foundation level knowledge (plus, two equivalent) in Mathematics, and Computer fundamental, skills., The ICT Academy of Kerala (ICTAK) is a not, Students who have completed, for, profit, public, private partnership (PPP) their graduation but are awaiting, conceived by the Govt. of India and created, the final results can also apply., by the Govt. of Kerala in partnering with, leading industry partners such as TCS, *Please note that the ICT Academy of Kerala will, have the right to cancel the candidature at any, Sowparnika Education Infrastructure, IBS, point if found ineligible., UST, and Quest Global. The academy, empowers students and professionals to, reach their digital aspirations through a, comprehensive range of programs, from, fundamental computer literacy to cutting, edge software engineering. As the leading, provider of skilled workforce in the industry, ICTAK has an impressive track record with, over 5, successful placements since its, establishment. In 2023 October the ICT, Academy of Kerala was recognized as a Total, Solution Provider by the Dept. of Electronics, & IT, Govt. of Kerala."
Essential Skill Program Business Intelligence With Power Bi,"Career opportunities in Business, Introduction to Power BI & Power BI, Intelligence (BI) are on the rise. Data, Desktop, professionals fill important roles within, Working with Query Editor, an organisation, such as business, Understanding the Data Model: Data &, analysts, project managers, and, Relationships, technical architects, which necessitate, Creating Visuals in the Report View, knowledge of different subjects, Taking the project to the Cloud with, BI can help companies make better, Power BI Pro Service, decisions by showing present and, Working with Other Data Sources and, historical data within their business, creating Custom Visuals (Power BI for, context. Analysts can leverage BI to, Developers), provide performance and competitor, benchmarks to make the organisation, Objectives, run smoother and more efficiently, BI professionals working as Work with various data sources, consultants generally command the including text files, Excel files, and, highest salaries, particularly in vertical databases, markets with the highest growth, such Create basic and advanced plotting, as pharmaceuticals and software techniques with Power BI, Demonstrate the art of data storytelling, Key Highlights for Business Intelligence, Suitable for students, graduates, and, working professionals, LinkedIn Learning / Unstop access for, three months, Internship opportunities for Unstop users, Add, on program on Cloud Computing, Fundamentals, Employability skills training, Powered by Knowledge Partner Program delivery Internship Partner, G1, GROUND FLOOR, THEJASWINI BUILDING, TECHNOPARK CAMPUS, THIRUVANANTHAPURAM, +91 75 940 51437 | 471 270 0811, info@ictkerala.org | https://ictkerala.org, NOISREV, BUSINESS INTELLIGENCE, WITH POWER BI, The following shall be eligible to, join the course, Engineering or science graduates, / three, year diploma holders in, any engineering branches, final, year/pre, final year students of, these courses, having a, foundation level knowledge (plus, two equivalent) in Mathematics, and Computer fundamental, skills., The ICT Academy of Kerala (ICTAK) is a not, Students who have completed, for, profit, public, private partnership (PPP) their graduation but are awaiting, conceived by the Govt. of India and created, the final results can also apply., by the Govt. of Kerala in partnering with, leading industry partners such as TCS, *Please note that the ICT Academy of Kerala will, have the right to cancel the candidature at any, Sowparnika Education Infrastructure, IBS, point if found ineligible., UST, and Quest Global. The academy, empowers students and professionals to, reach their digital aspirations through a, comprehensive range of programs, from, fundamental computer literacy to cutting, edge software engineering. As the leading, provider of skilled workforce in the industry, ICTAK has an impressive track record with, over 5, successful placements since its, establishment. In 2023 October the ICT, Academy of Kerala was recognized as a Total, Solution Provider by the Dept. of Electronics, & IT, Govt. of Kerala."
Certified Specialist In Data Science & Analytics,"Problem Solving and Design Thinking, Introduction to Data Science, Python Programming and Data Handling, Data Visualisation and EDA, Supervised and Unsupervised Learning Algorithms, Deep Dive Into Cloud Computing, Model Deployment Mlops, Capstone Project"
Industry Readiness Program CeRtified Specialist In FulL Stack Development,"Problem Solving and Design Thinking, Introduction to HTML, CSS and Bootstrap, JavaScript, NodeJS and ExpressJS, MongoDB Basics, ReactJS, Cloud Basics and Deployment, Capstone Project"
Industry Readiness Program CeRtified Cyber Security Analyst,"Problem Solving & Design Thinking, Foundation Module, Cyber Security Fundamentals, Network & WiFi Pentesting, Web Application Pentesting, Web Application Pentesting, II, Advanced Cyber Techniques, Capstone Project"
